;eventid;iyear;imonth;iday;extended;country;country_txt;region;region_txt;provstate;city;latitude;longitude;location;summary;crit1;crit2;crit3;success;suicide;attacktype1;attacktype1_txt;targtype1;targtype1_txt;targsubtype1;targsubtype1_txt;corp1;target1;natlty1;natlty1_txt;targsubtype2_txt;targsubtype3_txt;gname;gsubname;gname2;gsubname2;motive;guncertain3;nperps;nperpcap;weaptype1;weaptype1_txt;weapsubtype1;weapsubtype1_txt;weaptype2;weaptype2_txt;weapsubtype2;weapsubtype2_txt;weaptype3;weaptype3_txt;weapsubtype3;weapsubtype3_txt;weapdetail;nkill;nkillter;nwound;property;propextent;propextent_txt;propvalue;propcomment;nhostkid;nhours;ndays;divert;ransomamt;ransompaid;ransomnote;hostkidoutcome;hostkidoutcome_txt;nreleased;addnotes;scite1;scite2;scite3;dbsource;INT_LOG;INT_IDEO;related;start_date;end_date
0;197000000001;1970;7;2;0;58;Dominican Republic;2;Central America & Caribbean;;Santo Domingo;18.456792;-69.951164;;;1;1;1;1;0;1;Assassination;14;Private Citizens & Property;68.0;Named Civilian;;Julio Guzman;58.0;Dominican Republic;;;MANO-D;;;;;;;;13;Unknown;;;;;;;;;;;;1.0;;0.0;0;;;;;;;;;;;;;;;;;;;PGIS;0;0;;1970-07-02;
1;197000000002;1970;0;0;0;130;Mexico;1;North America;Federal;Mexico city;19.371887;-99.086624;;;1;1;1;1;0;6;Hostage Taking (Kidnapping);7;Government (Diplomatic);45.0;Diplomatic Personnel (outside of embassy, consulate);Belgian Ambassador Daughter;Nadine Chaval, daughter;21.0;Belgium;;;23rd of September Communist League;;;;;;7.0;;13;Unknown;;;;;;;;;;;;0.0;;0.0;0;;;;;1.0;;;;800000.0;;;;;;;;;;PGIS;0;1;;1969-11-30;
